"code","codetype","scientificname","genus","species","variety","subspecies"
"kew-30688","ThePlantList","Callicarpa bodinieri H.L̩v.","Callicarpa","bodinieri",NA,NA
"kew-47268","ThePlantList","Cornus alba L.","Cornus","alba",NA,NA
"tro-50060048","ThePlantList","Rhododendron calophytum Franch.","Rhododendron","calophytum",NA,NA
"kew-174591","ThePlantList","Quercus pubescens Willd.","Quercus","pubescens",NA,NA
"tro-29100182","ThePlantList","Saxifraga punctata L.","Saxifraga","punctata",NA,NA
"kew-466796","ThePlantList","Alnus alnobetula subsp. fruticosa (Rupr.) Raus","Alnus","alnobetula",NA,"fruticosa"
"kew-5003760","ThePlantList","Salix glauca var. acutifolia (Hook.) C.K.Schneid.","Salix","glauca","acutifolia",NA
"kew-2496835","ThePlantList","Luehea seemannii Triana & Planch","Luehea","seemannii",NA,NA
"kew-2635897","ThePlantList","Anacardium excelsum (Bertero ex Kunth) Skeels","Anacardium","excelsum",NA,NA
"kew-2810868","ThePlantList","Ficus insipida Willd.","Ficus","insipida",NA,NA
"ild-32326","ThePlantList","Albizia guachapele (Kunth) Dugand","Albizia","guachapele",NA,NA
"kew-156694","ThePlantList","Pittoniotis trichantha Griseb.","Pittoniotis","trichantha",NA,NA
"kew-2412504","ThePlantList","Pseudobombax septenatum (Jacq.) Dugand","Pseudobombax","septenatum",NA,NA
"kew-2431494","ThePlantList","Terminalia amazonia (J.F.Gmel.) Exell","Terminalia","amazonia",NA,NA
"kew-206933","ThePlantList","Tocoyena pittieri (Standl.) Standl.","Tocoyena","pittieri",NA,NA
"ild-10610","ThePlantList","Tachigali versicolor Standl. & L.O.Williams","Tachigali","versicolor",NA,NA
"kew-2461164","ThePlantList","Vochysia ferruginea Mart.","Vochysia","ferruginea",NA,NA
"kew-2452051","ThePlantList","Virola multiflora (Standl.) A.C.Sm.","Virola","multiflora",NA,NA
"tro-20302782","ThePlantList","Miconia borealis Gleason","Miconia","borealis",NA,NA
"kew-2643251","ThePlantList","Apeiba membranacea Spruce ex Benth.","Apeiba","membranacea",NA,NA
"kew-2834344","ThePlantList","Guatteria dumetorum R.E.Fr.","Guatteria","dumetorum",NA,NA
"kew-2707049","ThePlantList","Cecropia insignis Liebm.","Cecropia","insignis",NA,NA
"ild-12189","ThePlantList","Inga pezizifera Benth.","Inga","pezizifera",NA,NA
"kew-6968","ThePlantList","Alseis blackiana Hemsl.","Alseis","blackiana",NA,NA
"kew-314-067","ThePlantList","Gustavia superba (Kunth) O.Berg","Gustavia","superba",NA,NA
"tro-20302666","ThePlantList","Miconia argentea (Sw.) DC.","Miconia","argentea",NA,NA
"tro-3700004","ThePlantList","Callichlamys latifolia (Rich.) K. Schum.","Callichlamys","latifolia",NA,NA
"kew-2664129","ThePlantList","Astronium graveolens Jacq.","Astronium","graveolens",NA,NA
"kew-163583","ThePlantList","Posoqueria latifolia (Rudge) Schult.","Posoqueria","latifolia",NA,NA
"ild-17602","ThePlantList","Cojoba rufescens (Benth.) Britton & Rose","Cojoba","rufescens",NA,NA
"kew-2747501","ThePlantList","Cupania cinerea Poepp.","Cupania","cinerea",NA,NA
